
2024/05/19 (02:30:51) | ===> btop++ v.1.3.2
2024/05/24 (16:22:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (16:22:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (16:22:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (16:22:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (16:22:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:04:48) | ===> btop++ v.1.3.2
2024/05/24 (20:04:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:04:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:04:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:04:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:04:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:05:13) | ===> btop++ v.1.3.2
2024/05/24 (20:05:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:05:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:05:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:05:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:05:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:07:18) | ===> btop++ v.1.3.2
2024/05/24 (20:07:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:07:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:07:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:07:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:07:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:07:48) | ===> btop++ v.1.3.2
2024/05/24 (20:07:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:07:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:07:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:07:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:07:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:16:03) | ===> btop++ v.1.3.2
2024/05/24 (20:16:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:16:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:16:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:16:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:16:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (20:37:46) | ===> btop++ v.1.3.2
2024/05/24 (20:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (20:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (20:37:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (20:37:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (20:37:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/24 (21:07:58) | ===> btop++ v.1.3.2
2024/05/24 (21:07:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/24 (21:07:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/24 (21:07:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/24 (21:07:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/24 (21:07:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (00:25:56) | ===> btop++ v.1.3.2
2024/05/25 (00:25:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (00:25:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (00:25:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (00:25:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (00:25:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (17:16:49) | ===> btop++ v.1.3.2
2024/05/25 (17:16:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (17:16:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (17:16:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (17:16:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (17:16:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (17:44:45) | ===> btop++ v.1.3.2
2024/05/25 (17:44:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (17:44:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (17:44:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (17:44:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (17:44:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (19:34:31) | ===> btop++ v.1.3.2
2024/05/25 (19:34:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (19:34:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (19:34:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (19:34:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (19:34:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:00:02) | ===> btop++ v.1.3.2
2024/05/25 (20:00:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:00:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:00:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:00:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:00:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:12:23) | ===> btop++ v.1.3.2
2024/05/25 (20:12:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:12:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:12:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:12:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:12:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:17:30) | ===> btop++ v.1.3.2
2024/05/25 (20:17:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:17:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:17:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:17:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:17:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:42:32) | ===> btop++ v.1.3.2
2024/05/25 (20:42:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:42:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:42:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:42:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:42:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:50:59) | ===> btop++ v.1.3.2
2024/05/25 (20:50:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:50:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:50:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:50:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:50:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:51:48) | ===> btop++ v.1.3.2
2024/05/25 (20:51:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:51:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:51:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:51:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:51:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (20:56:30) | ===> btop++ v.1.3.2
2024/05/25 (20:56:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (20:56:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (20:56:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (20:56:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (20:56:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (21:10:10) | ===> btop++ v.1.3.2
2024/05/25 (21:10:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (21:10:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (21:10:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (21:10:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (21:10:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (21:10:33) | ===> btop++ v.1.3.2
2024/05/25 (21:10:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (21:10:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (21:10:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (21:10:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (21:10:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (22:56:35) | ===> btop++ v.1.3.2
2024/05/25 (22:56:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (22:56:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (22:56:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (22:56:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (22:56:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/25 (23:38:28) | ===> btop++ v.1.3.2
2024/05/25 (23:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/25 (23:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/25 (23:38:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/25 (23:38:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/25 (23:38:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/26 (02:28:18) | ===> btop++ v.1.3.2
2024/05/26 (02:28:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/26 (02:28:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/26 (02:28:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/26 (02:28:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/26 (02:28:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/26 (02:29:01) | ===> btop++ v.1.3.2
2024/05/26 (02:29:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/26 (02:29:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/26 (02:29:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/26 (02:29:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/26 (02:29:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/26 (19:26:49) | ===> btop++ v.1.3.2
2024/05/26 (19:26:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/26 (19:26:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/26 (19:26:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/26 (19:26:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/26 (19:26:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/26 (22:16:06) | ===> btop++ v.1.3.2
2024/05/26 (22:16:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/26 (22:16:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/26 (22:16:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/26 (22:16:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/26 (22:16:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (01:34:03) | ===> btop++ v.1.3.2
2024/05/27 (01:34:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (01:34:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (01:34:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (01:34:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/27 (01:34:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (01:39:10) | ===> btop++ v.1.3.2
2024/05/27 (01:39:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (01:39:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (01:39:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (01:39:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/27 (01:39:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (01:43:59) | ===> btop++ v.1.3.2
2024/05/27 (01:43:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (01:43:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (01:43:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (01:43:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/27 (01:43:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (01:44:07) | ===> btop++ v.1.3.2
2024/05/27 (01:44:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (01:44:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (01:44:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (01:44:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/27 (01:44:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/28 (17:48:45) | ===> btop++ v.1.3.2
2024/05/28 (17:48:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/28 (17:48:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/28 (17:48:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/28 (17:48:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/28 (17:48:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/28 (17:49:36) | ===> btop++ v.1.3.2
2024/05/28 (17:49:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/28 (17:49:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/28 (17:49:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/28 (17:49:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/28 (17:49:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/28 (17:49:40) | ===> btop++ v.1.3.2
2024/05/28 (17:49:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/28 (17:49:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/28 (17:49:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/28 (17:49:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/28 (17:49:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/29 (21:59:14) | ===> btop++ v.1.3.2
2024/05/29 (21:59:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/29 (21:59:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (21:59:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/29 (21:59:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/29 (21:59:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (01:26:41) | ===> btop++ v.1.3.2
2024/05/30 (01:26:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (01:26:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (01:26:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (01:26:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (01:26:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (01:26:50) | ===> btop++ v.1.3.2
2024/05/30 (01:26:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (01:26:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (01:26:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (01:26:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (01:26:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (02:06:03) | ===> btop++ v.1.3.2
2024/05/30 (02:06:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (02:06:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (02:06:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (02:06:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (02:06:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (03:33:23) | ===> btop++ v.1.3.2
2024/05/30 (03:33:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (03:33:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (03:33:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (03:33:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (03:33:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (03:33:25) | ===> btop++ v.1.3.2
2024/05/30 (03:33:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (03:33:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (03:33:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (03:33:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (03:33:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (03:33:29) | ===> btop++ v.1.3.2
2024/05/30 (03:33:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (03:33:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (03:33:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (03:33:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (03:33:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (03:33:33) | ===> btop++ v.1.3.2
2024/05/30 (03:33:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (03:33:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (03:33:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (03:33:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (03:33:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (20:02:57) | ===> btop++ v.1.3.2
2024/05/30 (20:02:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (20:02:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (20:02:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (20:02:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (20:02:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (20:03:16) | ===> btop++ v.1.3.2
2024/05/30 (20:03:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (20:03:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (20:03:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (20:03:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (20:03:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (21:06:48) | ===> btop++ v.1.3.2
2024/05/30 (21:06:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (21:06:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (21:06:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (21:06:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (21:06:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (23:57:30) | ===> btop++ v.1.3.2
2024/05/30 (23:57:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (23:57:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (23:57:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (23:57:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (23:57:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/31 (01:42:45) | ===> btop++ v.1.3.2
2024/05/31 (01:42:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (01:42:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (01:42:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/31 (01:42:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/31 (01:42:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
